BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
THE VILLAGE PUB,"RESTAURANT,BAR",7:00 PM,TUESDAY,,,5 VILLAGE CENTER DR,,SWEDESBORO,NJ,8085,,,,,,,,QUIZZO
GREAT AMERICAN PUB (WAYNE),"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,4 WEST AVE,,WAYNE,PA,19087,,,,,,,,QUIZZO
DAHLAK,"RESTAURANT,BAR",6:30 PM,THURSDAY,,CEDAR PARK,4708 BALTIMORE AVE,,PHILADELPHIA,PA,19143,,,,,,,,QUIZZO
RACK'S PUB,"RESTAURANT,BAR",7:30 PM,THURSDAY,,,2021 N BLACK HORSE PIKE,,WILLIAMSTOWN,NJ,8094,,,,,,,,QUIZZO
QUEEN & ROOK GAME CAFE,"RESTAURANT,BAR,BOARD_GAMES",7:00 PM,THURSDAY,,SOUTH PHILADELPHIA,607 S 2ND ST,,PHILADELPHIA,PA,19147,,,,,,,,QUIZZO
THE THIRSTY DICE,"RESTAURANT,BAR,BOARD_GAMES",6:30 PM,WEDNESDAY,,FAIRMOUNT,1642 FAIRMOUNT AVE,,PHILADELPHIA,PA,19130,,,,,,,,QUIZZO
TWENTY ONE PIPS,"RESTAURANT,BAR,BOARD_GAMES",7:00 PM,TUESDAY,,,24 CRICKET AVE,,ARDMORE,PA,19003,,,,,,,,QUIZZO
THE VICTORIA FREEHOUSE,"RESTAURANT,BAR,BRITISH_PUB",8:00 PM,WEDNESDAY,,OLD CITY,10 S FRONT ST,,PHILADELPHIA,PA,19106,,,,,,,,QUIZZO
EL CAMINO,"RESTAURANT,BAR,CANTINA",7:00 PM,WEDNESDAY,,NORTHERN LIBERTIES,1040 N 2ND ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO
ADOBE CAFE,"RESTAURANT,BAR,CANTINA",8:00 PM,THURSDAY,,BELLA VISTA,736 S 8TH ST,,PHILADELPHIA,PA,19147,,,,,,,,QUIZZO
TABU,"RESTAURANT,BAR,GAY_BAR",7:00 PM,WEDNESDAY,,GAYBORHOOD,254 S 12TH ST,,PHILADELPHIA,PA,19107,,,,,,,AURORA WHOREALIS,QUIZZO
LIBERTEE GROUNDS,"RESTAURANT,BAR,GOLF",7:00 PM,THURSDAY,,FRANCISVILLE,1600 W GIRARD AVE,SUITE C5,PHILADELPHIA,PA,19130,,,,,,,,QUIZZO
FERGIE'S PUB,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,TUESDAY,,GAYBORHOOD,1214 SANSOM ST,,PHILADELPHIA,PA,19107,CASH,50,CASH,25,,,JAWNYQ,QUIZZO
FERGIE'S PUB,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,THURSDAY,,GAYBORHOOD,1214 SANSOM ST,,PHILADELPHIA,PA,19107,CASH,50,CASH,25,,,JAWNYQ,QUIZZO
TIR NA NOG,"RESTAURANT,BAR,IRISH_PUB",7:00 PM,TUESDAY,,CENTER CITY,1600 ARCH ST,,PHILADELPHIA,PA,19103,,,,,,,KARLY MOON,QUIZZO
CURRAN'S BENSALEM,"RESTAURANT,BAR,IRISH_PUB",7:30 PM,MONDAY,,,1909 BRISTOL PIKE,,BENSALEM,PA,19020,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
NEW DECK TAVERN,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,WEDNESDAY,,UNIVERSITY CITY,3408 SANSOM ST,,PHILADELPHIA,PA,19104,,,,,,,,QUIZZO
THE BLACK SHEEP,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,WEDNESDAY,,RITTENHOUSE SQUARE,247 S 17TH ST,,PHILADELPHIA,PA,19103,,,,,,,,QUIZZO
KELLIANN'S BAR AND GRILL,"RESTAURANT,BAR,IRISH_PUB",8:30 PM,WEDNESDAY,,FAIRMOUNT,1549 SPRING GARDEN STREET,,PHILADELPHIA,PA,19130,,,,,,,,QUIZZO
DOLAN'S BAR RIDLEY PARK,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,TUESDAY,,,24 E SELLERS AVE,,RIDLEY PARK,PA,19078,,,,,,,,QUIZZO
KILDARES,"RESTAURANT,BAR,IRISH_PUB",9:00 PM,MONDAY,,,18 W GAY ST,,WEST CHESTER,PA,19380,,,,,,,,QUIZZO
SLIGO IRISH PUB,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,TUESDAY,,,113 W STATE ST,,MEDIA,PA,19063,,,,,,,,QUIZZO
TOP TOMATO,"RESTAURANT,BAR,PIZZERIA",7:00 PM,TUESDAY,,GAYBORHOOD,116 S 11TH ST,,PHILADELPHIA,PA,19107,,,,,,,,QUIZZO
LOCO PEZ,"RESTAURANT,BAR,TAQUERIA",7:00 PM,MONDAY,,GRADUATE HOSPITAL,700 S 20TH ST,,PHILADELPHIA,PA,19146,,,,,,,JOHNNY GOODTIMES,QUIZZO
CHAR AND STAVE,"ROASTERY,DISTILLERY",7:00 PM,TUESDAY,,,21 RITTENHOUSE PL,,ARDMORE,PA,19003,,,,,,,,QUIZZO
CITY WINERY,WINERY,7:00 PM,TUESDAY,LAST_OF_MONTH,CENTER CITY,990 FILBERT ST,,PHILADELPHIA,PA,19107,,,,,,,,QUIZZO
